City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Cervo,43.6702,-7.4101,54.68,94,97,9.04,ES,light rain
1,Sinop,41.7711,34.8709,56.1,51,100,11.52,TR,overcast clouds
2,Itarema,-2.9248,-39.9167,77.7,88,67,5.77,BR,broken clouds
3,Katsuura,35.1333,140.3,62.49,69,100,11.27,JP,light rain
4,Hobart,-42.8794,147.3294,60.03,67,100,2.3,AU,overcast clouds
5,Dunedin,-45.8742,170.5036,61.81,63,5,7.0,NZ,clear sky
6,Anadyr,64.75,177.4833,32.5,86,75,17.9,RU,light shower snow
7,Constantine,36.365,6.6147,45.81,81,0,6.91,DZ,clear sky
8,Kaitangata,-46.2817,169.8464,59.22,56,11,3.85,NZ,few clouds
9,Ushuaia,-54.8,-68.3,44.26,93,100,9.22,AR,overcast clouds
10,Punta Arenas,-53.15,-70.9167,44.11,81,75,5.75,CL,broken clouds
11,Severo-Kurilsk,50.6789,156.125,32.07,82,100,7.58,RU,overcast clouds
12,Hithadhoo,-0.6,73.0833,82.99,75,29,10.4,MV,scattered clouds
13,Boddam,57.4667,-1.7833,46.78,90,100,18.28,GB,overcast clouds
14,Necochea,-38.5473,-58.7368,57.76,87,93,9.13,AR,overcast clouds
15,Muniz Freire,-20.4642,-41.4131,62.58,96,98,2.73,BR,light rain
16,Sorland,67.667,12.6934,42.06,93,100,19.1,NO,light rain
17,Georgetown,5.4112,100.3354,84.13,93,20,6.91,MY,thunderstorm
18,Hilo,19.7297,-155.09,76.28,89,75,6.91,US,light rain
19,Imeni Poliny Osipenko,52.4201,136.4853,33.15,83,72,5.68,RU,broken clouds
20,Brae,60.3964,-1.353,45.84,82,100,22.21,GB,overcast clouds
21,Anderson,34.5334,-82.6499,67.05,83,99,4.45,US,overcast clouds
22,Mataura,-46.1927,168.8643,61.48,46,20,2.84,NZ,few clouds
23,Igarka,67.4667,86.5833,8.64,91,98,9.95,RU,overcast clouds
24,Nanakuli,21.3906,-158.1547,76.1,73,100,9.22,US,overcast clouds
25,Kruisfontein,-34.0033,24.7314,59.88,87,100,4.85,ZA,light rain
26,San Cristobal,7.7669,-72.225,65.97,96,99,3.13,VE,overcast clouds
27,Poum,-20.2333,164.0167,76.01,75,100,2.73,NC,light rain
28,Bredasdorp,-34.5322,20.0403,60.62,91,100,3.65,ZA,overcast clouds
29,Busselton,-33.65,115.3333,63.68,59,92,4.16,AU,overcast clouds
30,Bambous Virieux,-20.3428,57.7575,75.22,94,75,1.14,MU,thunderstorm with rain
31,Camacha,33.0833,-16.3333,58.42,82,40,16.11,PT,scattered clouds
32,East London,-33.0153,27.9116,64.58,83,5,13.53,ZA,clear sky
33,Rikitea,-23.1203,-134.9692,78.48,63,2,10.27,PF,clear sky
34,Vardo,70.3705,31.1107,39.51,92,99,10.04,NO,overcast clouds
35,Morant Bay,17.8815,-76.4093,75.7,83,6,6.06,JM,light rain
36,Tokur,53.1333,132.9,29.1,72,17,3.76,RU,few clouds
37,Taoudenni,22.6783,-3.9836,74.86,24,3,8.59,ML,clear sky
38,Puerto Ayora,-0.7393,-90.3518,75.16,95,100,7.2,EC,light rain
39,Sao Filipe,14.8961,-24.4956,70.81,78,23,4.74,CV,few clouds
40,Lompoc,34.6391,-120.4579,62.78,71,65,3.0,US,broken clouds
41,Feni,23.0186,91.41,86.07,67,69,12.41,BD,broken clouds
42,Albany,42.6001,-73.9662,39.58,63,7,6.87,US,clear sky
43,Vestmannaeyjar,63.4427,-20.2734,42.17,71,11,7.92,IS,few clouds
44,Carballo,43.213,-8.691,56.55,94,100,7.34,ES,overcast clouds
45,Moose Factory,51.2585,-80.6094,16.9,92,32,3.11,CA,scattered clouds
