City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Itarema,BR,77.7,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
12,Hithadhoo,MV,82.99,scattered clouds,-0.6,73.0833,Scoop Guest House
17,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
18,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
24,Nanakuli,US,76.1,overcast clouds,21.3906,-158.1547,Camp Pālehua
30,Bambous Virieux,MU,75.22,thunderstorm with rain,-20.3428,57.7575,Casa Tia Villa
33,Rikitea,PF,78.48,clear sky,-23.1203,-134.9692,People ThankYou
35,Morant Bay,JM,75.7,light rain,17.8815,-76.4093,Whispering Bamboo Cove Resort
38,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Feni,BD,86.07,broken clouds,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
47,Yellandu,IN,82.09,overcast clouds,17.6,80.3333,Satyanarayana Chekuri
50,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
57,Bacolod,PH,85.8,scattered clouds,10.6667,122.95,Planta Hotel & Residences
60,Atuona,PF,79.74,few clouds,-9.8,-139.0333,Villa Enata
64,Progreso,MX,82.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
69,Butaritari,KI,81.59,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
71,Laya,PH,83.5,overcast clouds,17.4726,121.4678,"M Hotel Tabuk, INC."
75,Lorengau,PG,83.89,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
82,Soyo,AO,78.37,overcast clouds,-6.1349,12.3689,Hotel Mpampa
85,Arlit,NE,75.36,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
86,Kharan,PK,78.49,clear sky,28.5833,65.4167,Dil Aram Bangla
90,Jamame,SO,81.05,overcast clouds,0.0722,42.7506,
100,Tura,IN,75.99,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
107,Salalah,OM,77.41,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
108,Port Moresby,PG,85.51,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
109,Sabang,ID,83.37,overcast clouds,5.8933,95.3214,Hotel Citra
110,Dingle,PH,84.69,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Touros,BR,79.34,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
115,Madinat Sittah Uktubar,EG,78.4,overcast clouds,29.8167,31.05,Happy Kennel Academy
125,Dicabisagan,PH,78.21,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
130,Lhokseumawe,ID,83.26,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
134,Kalmunai,LK,80.65,broken clouds,7.4167,81.8167,VS Villa
136,Port Blair,IN,84.33,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
138,Bengkulu,ID,82.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Matamoros,MX,84.18,broken clouds,25.5333,-103.25,Quinta Belem
143,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
150,Sinnamary,GF,77.16,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
154,Cap Malheureux,MU,75.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
155,Labuan,MY,81.21,broken clouds,5.2767,115.2417,Tiara Labuan Hotel
156,Chatrapur,IN,84.6,broken clouds,19.35,84.9833,Circuit House
157,Bambanglipuro,ID,85.35,broken clouds,-7.95,110.2833,Puri Brata
158,Port-Gentil,GA,79.84,moderate rain,-0.7193,8.7815,Fengshui Residence
159,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
160,Kavieng,PG,85.95,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
162,Tahoua,NE,79.81,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
163,Port Macquarie,AU,77.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
169,Mahibadhoo,MV,84.02,broken clouds,3.7833,72.9667,Omadhoo Inn
174,Hobyo,SO,82.8,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
177,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
182,Bilma,NE,77.4,clear sky,18.6853,12.9164,Expeditions Ténére voyages
187,Kokopo,PG,84.29,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
188,Morondava,MG,79.63,clear sky,-20.2833,44.2833,La Case Bambou
192,Ahuimanu,US,75.85,light rain,21.4447,-157.8378,Paradise Bay Resort
193,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
194,Grand Gaube,MU,75.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
